Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Mutated peptide count	Mutation names	Mutated peptide count B1	Mutation names B1	Mutated peptide count B2	Mutation names B2	Mutated peptide count B3	Mutation names B3	Mutated peptide count H1	Mutation names H1	Mutated peptide count H2	Mutation names H2	Mutated peptide count H3	Mutation names H3	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides B1	Peptides B2	Peptides B3	Peptides H1	Peptides H2	Peptides H3	Razor + unique peptides B1	Razor + unique peptides B2	Razor + unique peptides B3	Razor + unique peptides H1	Razor + unique peptides H2	Razor + unique peptides H3	Unique peptides B1	Unique peptides B2	Unique peptides B3	Unique peptides H1	Unique peptides H2	Unique peptides H3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Sequence coverage B1 [%]	Sequence coverage B2 [%]	Sequence coverage B3 [%]	Sequence coverage H1 [%]	Sequence coverage H2 [%]	Sequence coverage H3 [%]	Intensity	Intensity B1	Intensity B2	Intensity B3	Intensity H1	Intensity H2	Intensity H3	LFQ intensity B1	LFQ intensity B2	LFQ intensity B3	LFQ intensity H1	LFQ intensity H2	LFQ intensity H3	MS/MS count B1	MS/MS count B2	MS/MS count B3	MS/MS count H1	MS/MS count H2	MS/MS count H3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|P31040|SDHA_HUMAN	sp|P31040|SDHA_HUMAN	3	3	3	0		0		0		0		0		0		0		sp|P31040|SDHA_HUMAN Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Homo sapiens OX=9606 GN=SDHA PE=1 SV=2	1	3	3	3	0	1	0	3	2	1	0	1	0	3	2	1	0	1	0	3	2	1	5.6	5.6	5.6	72.691	664	664	0	49.211	0	1.7	0	5.6	3.9	1.7	668870	0	68701	0	193870	295430	110870	0	0	0	32786	25079	0	0	1	0	3	2	1	7				275	653;1191;1758	True;True;True	664;1213;1788	997;998;1843;1844;1845;1846;2702	1028;1029;1913;1914;1915;1916;2803	1028;1914;2803		
sp|P31327|CPSM_HUMAN;sp|P27708|PYR1_HUMAN	sp|P31327|CPSM_HUMAN;sp|P27708|PYR1_HUMAN	2;1	2;1	2;1	0		0		0		0		0		0		0		sp|P31327|CPSM_HUMAN Carbamoyl-phosphate synthase [ammonia], mitochondrial OS=Homo sapiens OX=9606 GN=CPS1 PE=1 SV=2;sp|P27708|PYR1_HUMAN CAD protein OS=Homo sapiens OX=9606 GN=CAD PE=1 SV=3	2	2	2	2	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	1.3	1.3	1.3	164.94	1500	1500;2225	0	12.335	0	0	0	0.5	0	0.7	167990	0	0	0	47537	0	120450	0	0	0	0	0	19228	0	0	0	1	0	1	2				276	363;1742	True;True	369;1772	569;2675	588;2774	588;2774		
sp|P31939|PUR9_HUMAN	sp|P31939|PUR9_HUMAN	3	3	3	0		0		0		0		0		0		0		sp|P31939|PUR9_HUMAN Bifunctional purine biosynthesis protein ATIC OS=Homo sapiens OX=9606 GN=ATIC PE=1 SV=3	1	3	3	3	0	0	0	2	1	1	0	0	0	2	1	1	0	0	0	2	1	1	5.9	5.9	5.9	64.615	592	592	0	22.029	0	0	0	4.1	1.9	1.2	602640	0	0	0	355610	138340	108690	0	0	0	59128	0	0	0	0	0	2	1	1	4				277	44;858;1548	True;True;True	44;873;1575	65;1330;1331;2377	67;1381;1382;2461	67;1382;2461		
sp|P31942|HNRH3_HUMAN	sp|P31942|HNRH3_HUMAN	3	3	3	0		0		0		0		0		0		0		sp|P31942|HNRH3_HUMAN Heterogeneous nuclear ribonucleoprotein H3 OS=Homo sapiens OX=9606 GN=HNRNPH3 PE=1 SV=2	1	3	3	3	0	0	0	1	2	1	0	0	0	1	2	1	0	0	0	1	2	1	11.3	11.3	11.3	36.926	346	346	0	19.032	0	0	0	4.9	6.4	4.9	315110	0	0	0	28362	198140	88610	0	0	0	0	0	14145	0	0	0	1	2	1	4				278	150;1460;1666	True;True;True	153;1486;1694	254;255;2242;2549	261;262;2322;2643	262;2322;2643		
sp|P31943|HNRH1_HUMAN	sp|P31943|HNRH1_HUMAN	6	6	3	0		0		0		0		0		0		0		sp|P31943|HNRH1_HUMAN Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens OX=9606 GN=HNRNPH1 PE=1 SV=4	1	6	6	3	0	0	0	3	4	3	0	0	0	3	4	3	0	0	0	1	2	1	20.5	20.5	10.9	49.229	449	449	0	70.886	0	0	0	9.4	14	10	5491600	0	0	0	989100	3982000	520570	0	0	0	199450	310460	0	0	0	0	3	4	3	10				279	151;354;628;742;1667;1752	True;True;True;True;True;True	154;360;639;755;1695;1782	256;257;557;959;960;961;1150;1151;2550;2694	263;264;576;989;990;991;1195;1196;2644;2795	264;576;989;1196;2644;2795		
sp|P31946|1433B_HUMAN	sp|P31946|1433B_HUMAN	5	4	4	0		0		0		0		0		0		0		sp|P31946|1433B_HUMAN 14-3-3 protein beta/alpha OS=Homo sapiens OX=9606 GN=YWHAB PE=1 SV=3	1	5	4	4	0	0	0	3	3	1	0	0	0	2	3	1	0	0	0	2	3	1	31.3	28.5	28.5	28.082	246	246	0	41.107	0	0	0	16.3	22.8	7.7	1217300	0	0	0	187940	764230	265150	0	0	0	0	66300	0	0	0	0	2	3	1	6				280	173;658;831;1295;1482	True;True;False;True;True	176;669;845;1318;1509	288;1004;1288;1995;1996;1997;2276	297;1035;1338;2066;2067;2068;2356	297;1035;1338;2067;2356		
sp|P31947|1433S_HUMAN	sp|P31947|1433S_HUMAN	2	1	1	0		0		0		0		0		0		0		sp|P31947|1433S_HUMAN 14-3-3 protein sigma OS=Homo sapiens OX=9606 GN=SFN PE=1 SV=1	1	2	1	1	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	6	3.2	3.2	27.774	248	248	0	25.563	0	0	0	2.8	3.2	3.2	3569800	0	0	0	0	2009700	1560100	0	0	0	0	0	249040	0	0	0	0	1	1	2				281	831;1713	False;True	845;1743	1288;2628;2629	1338;2726;2727	1338;2727		
sp|P31948|STIP1_HUMAN	sp|P31948|STIP1_HUMAN	6	6	6	0		0		0		0		0		0		0		sp|P31948|STIP1_HUMAN Stress-induced-phosphoprotein 1 OS=Homo sapiens OX=9606 GN=STIP1 PE=1 SV=1	1	6	6	6	0	0	0	3	3	0	0	0	0	3	3	0	0	0	0	3	3	0	9.4	9.4	9.4	62.639	543	543	0	36.37	0	0	0	4.4	5	0	404180	0	0	0	175820	228350	0	0	0	0	0	19811	0	0	0	0	3	2	0	5				282	84;311;382;599;788;1088	True;True;True;True;True;True	86;317;389;610;802;1109	143;496;597;916;1224;1696	145;514;616;946;1272;1762	145;514;616;946;1272;1762	67	1
sp|P31949|S10AB_HUMAN	sp|P31949|S10AB_HUMAN	3	3	3	0		0		0		0		0		0		0		sp|P31949|S10AB_HUMAN Protein S100-A11 OS=Homo sapiens OX=9606 GN=S100A11 PE=1 SV=2	1	3	3	3	0	0	0	1	3	1	0	0	0	1	3	1	0	0	0	1	3	1	30.5	30.5	30.5	11.74	105	105	0	22.301	0	0	0	6.7	30.5	8.6	2886900	0	0	0	246580	1782800	857600	0	0	0	0	154660	0	0	0	0	1	2	1	4				283	276;757;1498	True;True;True	282;771;1525	442;443;1175;1176;2299	460;461;1220;1221;2380	461;1221;2380		
sp|P32119|PRDX2_HUMAN	sp|P32119|PRDX2_HUMAN	6	5	5	0		0		0		0		0		0		0		sp|P32119|PRDX2_HUMAN Peroxiredoxin-2 OS=Homo sapiens OX=9606 GN=PRDX2 PE=1 SV=5	1	6	5	5	0	0	1	5	4	3	0	0	1	4	3	2	0	0	1	4	3	2	23.7	18.2	18.2	21.892	198	198	0	37.097	0	0	4	23.2	15.7	15.2	3572000	0	0	0	1366600	978050	1227400	0	0	0	143290	105070	259650	0	0	1	4	3	2	10				284	148;547;1002;1253;1336;1495	True;True;True;False;True;True	151;556;1022;1275;1360;1522	250;251;252;838;1564;1565;1566;1930;1931;1932;2052;2294;2295	257;258;259;866;1628;1629;1630;2000;2001;2002;2127;2375;2376	258;866;1630;2000;2127;2376		
sp|P34897|GLYM_HUMAN	sp|P34897|GLYM_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|P34897|GLYM_HUMAN Serine hydroxymethyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=SHMT2 PE=1 SV=3	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	2.2	2.2	2.2	55.992	504	504	0.0017153	5.9197	0	0	0	0	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1				285	922	True	941	1447	1507	1507		
sp|P34932|HSP74_HUMAN	sp|P34932|HSP74_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|P34932|HSP74_HUMAN Heat shock 70 kDa protein 4 OS=Homo sapiens OX=9606 GN=HSPA4 PE=1 SV=4	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1.5	1.5	1.5	94.33	840	840	0	6.395	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1				286	1687	True	1715	2577	2671	2671		
sp|P35080|PROF2_HUMAN	sp|P35080|PROF2_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|P35080|PROF2_HUMAN Profilin-2 OS=Homo sapiens OX=9606 GN=PFN2 PE=1 SV=3	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	10.7	10.7	10.7	15.046	140	140	0	7.8837	0	0	0	10.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1				287	283	True	289	452	470	470		
sp|P35232|PHB_HUMAN	sp|P35232|PHB_HUMAN	2	2	2	0		0		0		0		0		0		0		sp|P35232|PHB_HUMAN Prohibitin OS=Homo sapiens OX=9606 GN=PHB PE=1 SV=1	1	2	2	2	0	1	0	2	1	0	0	1	0	2	1	0	0	1	0	2	1	0	6.6	6.6	6.6	29.804	272	272	0	12.006	0	3.3	0	6.6	3.3	0	578990	0	0	0	176610	402370	0	0	0	0	0	34908	0	0	1	0	3	1	0	5				288	347;1303	True;True	353;1326	547;2006;2007;2008	566;2078;2079;2080;2081	566;2080		
sp|P35579|MYH9_HUMAN;sp|P35580|MYH10_HUMAN;sp|P35749|MYH11_HUMAN;sp|P12883|MYH7_HUMAN;sp|P13535|MYH8_HUMAN;sp|Q9UKX3|MYH13_HUMAN;sp|Q9Y623|MYH4_HUMAN;sp|P13533|MYH6_HUMAN;sp|P12882|MYH1_HUMAN;sp|P11055|MYH3_HUMAN;sp|Q9UKX2|MYH2_HUMAN;sp|A7E2Y1|MYH7B_HUMAN	sp|P35579|MYH9_HUMAN	31;5;4;1;1;1;1;1;1;1;1;1	31;5;4;1;1;1;1;1;1;1;1;1	29;4;2;0;0;0;0;0;0;0;0;0	0		0		0		0		0		0		0		sp|P35579|MYH9_HUMAN Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4	12	31	31	29	0	0	0	18	18	10	0	0	0	18	18	10	0	0	0	17	16	9	18.6	18.6	17.6	226.53	1960	1960;1976;1972;1935;1937;1938;1939;1939;1939;1940;1941;1983	0	313.45	0	0	0	11.6	11.3	5.9	16149000	0	0	0	7376400	6580000	2192400	0	0	0	1235000	485530	412170	0	0	0	19	20	10	49				289	20;22;85;112;139;197;272;598;635;645;646;794;809;862;876;888;990;1187;1219;1317;1322;1344;1347;1420;1501;1523;1565;1631;1683;1684;1739	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	20;22;87;115;142;200;278;609;646;656;657;808;823;877;893;907;1010;1209;1241;1340;1345;1368;1371;1445;1446;1528;1550;1593;1659;1711;1712;1769	28;29;30;32;144;145;187;232;233;234;327;328;329;436;915;972;988;989;1235;1251;1336;1337;1338;1364;1365;1391;1547;1838;1880;2027;2034;2060;2063;2064;2065;2175;2176;2306;2337;2405;2500;2570;2571;2572;2573;2574;2669	28;29;30;32;146;147;189;238;239;240;340;341;342;454;945;1003;1019;1020;1284;1300;1387;1388;1389;1418;1419;1448;1611;1908;1950;2101;2109;2135;2138;2139;2140;2141;2255;2256;2387;2418;2490;2491;2591;2664;2665;2666;2667;2668;2768	28;32;147;189;238;340;454;945;1003;1019;1020;1284;1300;1387;1418;1448;1611;1908;1950;2101;2109;2135;2139;2256;2387;2418;2491;2591;2664;2668;2768	68;69	161;162
sp|P35613|BASI_HUMAN	sp|P35613|BASI_HUMAN	3	3	3	0		0		0		0		0		0		0		sp|P35613|BASI_HUMAN Basigin OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=2	1	3	3	3	0	0	0	1	2	0	0	0	0	1	2	0	0	0	0	1	2	0	13.5	13.5	13.5	42.2	385	385	0	22.656	0	0	0	4.2	9.4	0	150430	0	0	0	0	150430	0	0	0	0	0	13050	0	0	0	0	1	2	0	3				290	1330;1379;1450	True;True;True	1354;1404;1476	2045;2113;2226	2120;2192;2306	2120;2192;2306	70;71	239;292
sp|P35637|FUS_HUMAN;sp|Q92804|RBP56_HUMAN	sp|P35637|FUS_HUMAN;sp|Q92804|RBP56_HUMAN	2;2	2;2	2;2	0		0		0		0		0		0		0		sp|P35637|FUS_HUMAN RNA-binding protein FUS OS=Homo sapiens OX=9606 GN=FUS PE=1 SV=1;sp|Q92804|RBP56_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1	2	2	2	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	4.4	4.4	4.4	53.425	526	526;592	0	13.649	0	0	0	1.7	2.7	0	589850	0	0	0	316190	273660	0	0	0	0	52574	0	0	0	0	0	1	1	0	2				291	5;515	True;True	5;524	6;794	6;820	6;820		
sp|P35998|PRS7_HUMAN	sp|P35998|PRS7_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|P35998|PRS7_HUMAN 26S proteasome regulatory subunit 7 OS=Homo sapiens OX=9606 GN=PSMC2 PE=1 SV=3	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1.8	1.8	1.8	48.633	433	433	0.0017007	5.9084	0	0	0	0	1.8	0	61069	0	0	0	0	61069	0	0	0	0	0	5298	0	0	0	0	0	1	0	1				292	728	True	741	1123	1166	1166		
sp|P36542|ATPG_HUMAN	sp|P36542|ATPG_HUMAN	2	2	2	0		0		0		0		0		0		0		sp|P36542|ATPG_HUMAN ATP synthase subunit gamma, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1C PE=1 SV=1	1	2	2	2	0	0	0	1	1	2	0	0	0	1	1	2	0	0	0	1	1	2	7.4	7.4	7.4	32.996	298	298	0	12.008	0	0	0	3.7	3.7	7.4	656440	0	0	0	101920	277060	277460	0	0	0	0	0	44292	0	0	0	1	1	2	4				293	1383;1526	True;True	1408;1553	2118;2119;2120;2341	2197;2198;2199;2422	2199;2422		
sp|P36578|RL4_HUMAN	sp|P36578|RL4_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|P36578|RL4_HUMAN 60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	5.2	5.2	5.2	47.697	427	427	0	14.099	0	0	0	5.2	5.2	5.2	773220	0	0	0	189680	406090	177450	0	0	0	0	0	28327	0	0	0	1	1	1	3				294	1279	True	1302	1973;1974;1975	2043;2044;2045	2045		
sp|P36873|PP1G_HUMAN;sp|P62140|PP1B_HUMAN;sp|P62136|PP1A_HUMAN	sp|P36873|PP1G_HUMAN;sp|P62140|PP1B_HUMAN;sp|P62136|PP1A_HUMAN	2;2;2	2;2;2	2;2;2	0		0		0		0		0		0		0		sp|P36873|PP1G_HUMAN Serine/threonine-protein phosphatase PP1-gamma catalytic subunit OS=Homo sapiens OX=9606 GN=PPP1CC PE=1 SV=1;sp|P62140|PP1B_HUMAN Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Homo sapiens OX=9606 GN=PPP1CB PE=1 SV	3	2	2	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	9.6	9.6	9.6	36.983	323	323;327;330	0	26.503	0	0	0	4.3	5.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2				295	67;364	True;True	69;370	113;570	115;589	115;589		
sp|P36952|SPB5_HUMAN	sp|P36952|SPB5_HUMAN	2	2	2	0		0		0		0		0		0		0		sp|P36952|SPB5_HUMAN Serpin B5 OS=Homo sapiens OX=9606 GN=SERPINB5 PE=1 SV=2	1	2	2	2	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	5.1	5.1	5.1	42.1	375	375	0	11.189	0	0	0	0	5.1	0	162660	0	0	0	0	162660	0	0	0	0	0	14112	0	0	0	0	0	2	0	2				296	298;379	True;True	304;386	471;593	489;612	489;612		
sp|P37108|SRP14_HUMAN	sp|P37108|SRP14_HUMAN	2	2	2	0		0		0		0		0		0		0		sp|P37108|SRP14_HUMAN Signal recognition particle 14 kDa protein OS=Homo sapiens OX=9606 GN=SRP14 PE=1 SV=2	1	2	2	2	0	0	0	1	2	0	0	0	0	1	2	0	0	0	0	1	2	0	17.6	17.6	17.6	14.57	136	136	0	35.012	0	0	0	7.4	17.6	0	906650	0	0	0	128580	778070	0	0	0	0	0	67501	0	0	0	0	1	2	0	3				297	1570;1703	True;True	1598;1733	2413;2414;2609	2501;2502;2705	2502;2705		
sp|P37802|TAGL2_HUMAN	sp|P37802|TAGL2_HUMAN	7	7	7	0		0		0		0		0		0		0		sp|P37802|TAGL2_HUMAN Transgelin-2 OS=Homo sapiens OX=9606 GN=TAGLN2 PE=1 SV=3	1	7	7	7	0	0	0	4	4	3	0	0	0	4	4	3	0	0	0	4	4	3	36.2	36.2	36.2	22.391	199	199	0	65.156	0	0	0	21.1	20.1	18.1	6111400	0	0	0	1500500	3753300	857560	0	0	0	197800	377310	0	0	0	0	4	3	4	11				298	565;735;1137;1160;1194;1271;1546	True;True;True;True;True;True;True	575;748;1159;1182;1216;1293;1294;1573	865;1133;1763;1764;1797;1798;1849;1962;1963;1964;1965;2375	894;1178;1831;1832;1866;1867;1919;2032;2033;2034;2035;2459	894;1178;1832;1866;1919;2032;2459	72;73;74;75	85;90;130;178
sp|P37837|TALDO_HUMAN	sp|P37837|TALDO_HUMAN	2	2	2	0		0		0		0		0		0		0		sp|P37837|TALDO_HUMAN Transaldolase OS=Homo sapiens OX=9606 GN=TALDO1 PE=1 SV=2	1	2	2	2	0	0	0	2	0	1	0	0	0	2	0	1	0	0	0	2	0	1	5	5	5	37.54	337	337	0	12.116	0	0	0	5	0	2.4	541680	0	0	0	304050	0	237630	0	0	0	50555	0	0	0	0	0	2	0	0	2				299	7;1056	True;True	7;1076	9;1657;1658	9;1722;1723	9;1723		
sp|P38159|RBMX_HUMAN;sp|O75526|RMXL2_HUMAN;sp|Q96E39|RMXL1_HUMAN	sp|P38159|RBMX_HUMAN;sp|O75526|RMXL2_HUMAN	3;2;1	3;2;1	3;2;1	0		0		0		0		0		0		0		sp|P38159|RBMX_HUMAN RNA-binding motif protein, X chromosome OS=Homo sapiens OX=9606 GN=RBMX PE=1 SV=3;sp|O75526|RMXL2_HUMAN RNA-binding motif protein, X-linked-like-2 OS=Homo sapiens OX=9606 GN=RBMXL2 PE=1 SV=3	3	3	3	3	0	0	0	2	0	1	0	0	0	2	0	1	0	0	0	2	0	1	7.4	7.4	7.4	42.331	391	391;392;390	0	20.29	0	0	0	5.4	0	2	566300	0	0	0	566300	0	0	0	0	0	94161	0	0	0	0	0	2	0	1	3				300	777;1628;1639	True;True;True	791;1656;1667	1212;2496;2512	1260;2587;2603	1260;2587;2603		
sp|P38646|GRP75_HUMAN	sp|P38646|GRP75_HUMAN	6	6	6	0		0		0		0		0		0		0		sp|P38646|GRP75_HUMAN Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2	1	6	6	6	0	0	0	1	5	0	0	0	0	1	5	0	0	0	0	1	5	0	11.3	11.3	11.3	73.68	679	679	0	49.16	0	0	0	2.1	9.3	0	1270100	0	0	0	0	1270100	0	0	0	0	0	110190	0	0	0	0	1	5	0	6				301	211;1213;1221;1580;1681;1699	True;True;True;True;True;True	214;1235;1243;1608;1709;1729	348;1873;1882;2429;2566;2603	361;1943;1952;2518;2660;2699	361;1943;1952;2518;2660;2699		
sp|P39019|RS19_HUMAN	sp|P39019|RS19_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|P39019|RS19_HUMAN 40S ribosomal protein S19 OS=Homo sapiens OX=9606 GN=RPS19 PE=1 SV=2	1	1	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	6.9	6.9	6.9	16.06	145	145	0	11.927	0	0	0	6.9	6.9	0	1276800	0	0	0	774320	502440	0	0	0	0	0	43589	0	0	0	0	1	1	0	2				302	639	True	650	977;978	1008;1009	1009		
sp|P39023|RL3_HUMAN;sp|Q92901|RL3L_HUMAN	sp|P39023|RL3_HUMAN	6;1	6;1	6;1	0		0		0		0		0		0		0		sp|P39023|RL3_HUMAN 60S ribosomal protein L3 OS=Homo sapiens OX=9606 GN=RPL3 PE=1 SV=2	2	6	6	6	0	0	0	4	4	1	0	0	0	4	4	1	0	0	0	4	4	1	17.9	17.9	17.9	46.108	403	403;407	0	44.352	0	0	0	9.4	13.2	2.7	2163300	0	0	0	549250	1614100	0	0	0	0	0	140030	0	0	0	0	4	4	1	9				303	683;1166;1397;1412;1588;1600	True;True;True;True;True;True	694;1188;1422;1437;1616;1628	1043;1807;1808;2138;2164;2165;2437;2456;2457	1074;1876;1877;2217;2244;2245;2526;2545;2546	1074;1876;2217;2245;2526;2545		
sp|P39656|OST48_HUMAN	sp|P39656|OST48_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|P39656|OST48_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Homo sapiens OX=9606 GN=DDOST PE=1 SV=4	1	1	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	1.5	1.5	1.5	50.8	456	456	0.0080906	5.8441	0	0	0	1.5	1.5	0	173010	0	0	0	70001	103010	0	0	0	0	0	8936.7	0	0	0	0	1	1	0	2				304	521	True	530	802;803	828;829	828		
sp|P39687|AN32A_HUMAN;sp|Q92688|AN32B_HUMAN	sp|P39687|AN32A_HUMAN	3;1	3;1	3;1	0		0		0		0		0		0		0		sp|P39687|AN32A_HUMAN Acidic leucine-rich nuclear phosphoprotein 32 family member A OS=Homo sapiens OX=9606 GN=ANP32A PE=1 SV=1	2	3	3	3	0	0	0	0	2	1	0	0	0	0	2	1	0	0	0	0	2	1	14.9	14.9	14.9	28.585	249	249;251	0	30.247	0	0	0	0	11.6	3.2	544130	0	0	0	0	355000	189130	0	0	0	0	0	30192	0	0	0	0	2	1	3				305	201;392;1401	True;True;True	204;399;1426	334;610;2145	347;630;2225	347;630;2225		
sp|P39748|FEN1_HUMAN	sp|P39748|FEN1_HUMAN	2	2	2	0		0		0		0		0		0		0		sp|P39748|FEN1_HUMAN Flap endonuclease 1 OS=Homo sapiens OX=9606 GN=FEN1 PE=1 SV=1	1	2	2	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	6.6	6.6	6.6	42.592	380	380	0	16.674	0	0	0	2.4	4.2	0	120590	0	0	0	120590	0	0	0	0	0	20050	0	0	0	0	0	1	1	0	2				306	1265;1754	True;True	1287;1784	1953;2696	2023;2797	2023;2797		
sp|P40121|CAPG_HUMAN	sp|P40121|CAPG_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|P40121|CAPG_HUMAN Macrophage-capping protein OS=Homo sapiens OX=9606 GN=CAPG PE=1 SV=2	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	2.9	2.9	2.9	38.498	348	348	0	7.9474	0	0	0	0	2.9	2.9	379040	0	0	0	0	168220	210820	0	0	0	0	0	33654	0	0	0	0	1	1	2				307	108	True	111	181;182	183;184	183		
sp|P40227|TCPZ_HUMAN;sp|Q92526|TCPW_HUMAN	sp|P40227|TCPZ_HUMAN	5;1	5;1	5;1	0		0		0		0		0		0		0		sp|P40227|TCPZ_HUMAN T-complex protein 1 subunit zeta OS=Homo sapiens OX=9606 GN=CCT6A PE=1 SV=3	2	5	5	5	0	0	0	4	2	1	0	0	0	4	2	1	0	0	0	4	2	1	10.7	10.7	10.7	58.024	531	531;530	0	31.359	0	0	0	8.3	4.3	1.7	1723700	0	0	0	561660	943290	218790	0	0	0	93390	0	0	0	0	0	4	2	1	7				308	120;393;697;1215;1382	True;True;True;True;True	123;400;709;1237;1407	200;611;1064;1065;1875;2116;2117	202;631;1099;1100;1945;2195;2196	202;631;1099;1945;2196		
sp|P40429|RL13A_HUMAN	sp|P40429|RL13A_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|P40429|RL13A_HUMAN 60S ribosomal protein L13a OS=Homo sapiens OX=9606 GN=RPL13A PE=1 SV=2	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	5.9	5.9	5.9	23.577	203	203	0	6.166	0	0	0	0	5.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1				309	188	True	191	315	328	328		
sp|P40926|MDHM_HUMAN	sp|P40926|MDHM_HUMAN	2	2	2	0		0		0		0		0		0		0		sp|P40926|MDHM_HUMAN Malate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=MDH2 PE=1 SV=3	1	2	2	2	0	0	0	1	1	2	0	0	0	1	1	2	0	0	0	1	1	2	5.9	5.9	5.9	35.503	338	338	0	15.078	0	0	0	3	3	5.9	1805300	0	0	0	486020	763910	555350	0	0	0	0	0	88653	0	0	0	1	1	2	4				310	356;736	True;True	362;749	560;1134;1135;1136	579;1179;1180;1181	579;1179		
sp|Q2VIR3|IF2GL_HUMAN;sp|P41091|IF2G_HUMAN	sp|Q2VIR3|IF2GL_HUMAN;sp|P41091|IF2G_HUMAN	1;1	1;1	1;1	0		0		0		0		0		0		0		sp|Q2VIR3|IF2GL_HUMAN Eukaryotic translation initiation factor 2 subunit 3B OS=Homo sapiens OX=9606 GN=EIF2S3B PE=2 SV=2;sp|P41091|IF2G_HUMAN Eukaryotic translation initiation factor 2 subunit 3 OS=Homo sapiens OX=9606 GN=EIF2S3 PE=1 SV=3	2	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	2.1	2.1	2.1	51.228	472	472;472	0	15.458	0	0	0	2.1	2.1	2.1	686510	0	0	0	178590	305750	202170	0	0	0	0	0	32274	0	0	0	1	1	1	3				311	1227	True	1249	1889;1890;1891	1959;1960;1961	1960		
